body_pos_x	body_pos_y	body_pos_z	body_quat_w	body_quat_x	body_quat_y	body_quat_z	joint_pos00	joint_pos01	joint_pos02	joint_pos03	joint_pos04	joint_pos05	joint_pos06	joint_pos07	joint_pos08	joint_pos09	joint_pos10	joint_pos11	joint_pos12	joint_pos13	joint_pos14	joint_pos15	joint_pos16	joint_pos17	joint_pos18	joint_pos19	joint_pos20	joint_pos21	joint_pos22	joint_pos23	joint_pos24	joint_pos25	joint_pos26	joint_vel_00	joint_vel_01	joint_vel_02	joint_vel_03	joint_vel_04	joint_vel_05	joint_vel_06	joint_vel_07	joint_vel_08	joint_vel_09	joint_vel_10	joint_vel_11	joint_vel_12	joint_vel_13	joint_vel_14	joint_vel_15	joint_vel_16	joint_vel_17	joint_vel_18	joint_vel_19	joint_vel_20	joint_vel_21	joint_vel_22	joint_vel_23	joint_vel_24	joint_vel_25	joint_vel_26
-0.645179	1.083589	0.938733	-0.050871	-0.000599	-0.011793	0.998636	0.051157	-0.169294	-0.434853	0.803434	-0.326877	-0.011865	-0.012081	-0.202630	-0.248832	0.650202	-0.379445	0.026380	0.146327	0.367490	0.079926	-0.388328	-0.321459	-0.171567	-0.093058	0.000000	-1.198389	-0.282706	1.351613	-2.141547	0.013667	0.270954	0.000000	0.243287	-1.135795	-0.419161	-0.150792	0.331132	-0.120718	0.183876	-1.139876	0.038044	-0.172059	0.158305	-0.042317	0.845940	-0.100921	-0.445335	0.715057	0.304277	-0.483580	-0.179466	0.000000	-1.678750	2.836633	3.109747	1.870555	-0.233212	-0.946110	0.000000
-0.644722	1.084842	0.939527	-0.063245	-0.002665	-0.013028	0.997910	0.056810	-0.192140	-0.444528	0.800258	-0.319558	-0.014710	-0.007645	-0.225541	-0.249829	0.647690	-0.375759	0.023366	0.162358	0.365889	0.073408	-0.379561	-0.315195	-0.184214	-0.096093	0.000000	-1.229336	-0.230630	1.406224	-2.104555	0.005427	0.254984	0.000000	0.315511	-1.246101	-0.525360	-0.151959	0.363097	-0.162438	0.237579	-1.244570	-0.027588	-0.153911	0.160847	-0.073839	0.729648	-0.064586	-0.280379	0.364446	0.397793	-0.700499	-0.129574	0.000000	-1.633495	2.417351	2.547452	2.024078	-0.352763	-0.610773	0.000000
-0.644632	1.086468	0.940220	-0.077912	-0.005010	-0.014447	0.996843	0.063777	-0.219138	-0.455867	0.797355	-0.312353	-0.018362	-0.002578	-0.252413	-0.249936	0.644046	-0.373011	0.023427	0.175513	0.364907	0.068711	-0.373751	-0.305547	-0.199587	-0.098241	0.000000	-1.263728	-0.186012	1.453511	-2.060584	-0.000444	0.246524	0.000000	0.331549	-1.135800	-0.509863	-0.162300	0.324143	-0.154304	0.250502	-1.133239	-0.065438	-0.155436	0.180583	0.015759	0.709560	-0.095387	-0.355751	0.423561	0.518870	-0.818802	-0.165480	0.000000	-1.515532	2.473706	2.479666	2.670729	-0.523185	-0.593945	0.000000
-0.645053	1.087274	0.941001	-0.087621	-0.007643	-0.016045	0.995996	0.070072	-0.237572	-0.464923	0.793766	-0.306593	-0.020882	0.002375	-0.270870	-0.252446	0.641472	-0.368536	0.023997	0.190740	0.362073	0.059178	-0.362619	-0.294440	-0.216966	-0.102713	0.000000	-1.289957	-0.131682	1.505411	-1.997726	-0.015500	0.231226	0.000000	0.288376	-0.853618	-0.389475	-0.188667	0.257556	-0.107169	0.226106	-0.857221	-0.107635	-0.099537	0.206365	0.012043	0.747446	-0.127494	-0.493965	0.515875	0.525359	-0.850302	-0.256314	0.000000	-1.088023	2.539613	2.222759	3.152254	-0.851922	-1.004852	0.000000
-0.645462	1.087868	0.941670	-0.096201	-0.009607	-0.017418	0.995163	0.075312	-0.253282	-0.471446	0.789809	-0.302051	-0.022649	0.006466	-0.286702	-0.254241	0.640064	-0.364756	0.023908	0.205411	0.359807	0.048952	-0.353116	-0.284533	-0.233599	-0.108493	0.000000	-1.307249	-0.084427	1.542421	-1.934494	-0.034521	0.206329	0.000000	0.250732	-0.891750	-0.358196	-0.162275	0.261944	-0.079025	0.180600	-0.890949	-0.052729	-0.074612	0.159409	-0.004842	0.592896	-0.121771	-0.534344	0.671318	0.457054	-0.610801	-0.154929	0.000000	-1.177174	2.217044	1.631755	3.250903	-0.624547	-1.079410	0.000000
-0.645577	1.088556	0.942259	-0.106794	-0.011143	-0.018404	0.994048	0.080101	-0.273242	-0.479251	0.787275	-0.296115	-0.024043	0.009599	-0.306508	-0.254555	0.638488	-0.362160	0.023803	0.214456	0.357202	0.037804	-0.335766	-0.276158	-0.241398	-0.108910	0.000000	-1.337044	-0.043000	1.570681	-1.867690	-0.040482	0.188050	0.000000	0.215021	-0.963321	-0.376286	-0.103712	0.288954	-0.068657	0.133027	-0.964337	-0.006562	-0.073224	0.102155	-0.011355	0.372756	-0.120488	-0.532920	0.727993	0.383164	-0.316473	0.160429	0.000000	-1.578137	2.081616	0.709462	3.533459	-0.092317	-0.511270	0.000000
-0.645778	1.089265	0.942697	-0.116383	-0.012425	-0.018927	0.992946	0.083913	-0.291815	-0.486498	0.785660	-0.290493	-0.025395	0.011787	-0.325276	-0.254504	0.637135	-0.360670	0.023454	0.220321	0.354987	0.027635	-0.323996	-0.269206	-0.246258	-0.102076	0.000000	-1.370375	-0.001162	1.570800	-1.793156	-0.038213	0.185879	0.000000	0.171143	-0.860956	-0.330995	-0.071633	0.263583	-0.072837	0.092811	-0.868715	0.006684	-0.054026	0.056934	-0.018811	0.208549	-0.064129	-0.664678	0.502025	0.346217	-0.302072	0.349683	0.000000	-1.529586	2.424363	0.002977	4.394436	0.080725	0.121729	0.000000
-0.646017	1.090130	0.943043	-0.124499	-0.013409	-0.019077	0.991946	0.086947	-0.307680	-0.492491	0.784410	-0.285572	-0.026956	0.013311	-0.341257	-0.254288	0.636327	-0.359882	0.023051	0.222798	0.354637	0.011217	-0.315685	-0.262309	-0.253481	-0.094922	0.000000	-1.398228	0.053975	1.570800	-1.691912	-0.037253	0.192919	0.000000	0.127742	-0.779617	-0.288115	-0.051381	0.237116	-0.081009	0.048374	-0.772864	0.018763	-0.024045	0.000525	-0.026300	-0.034618	0.080983	-0.909804	0.448456	0.332522	-0.257985	0.277173	0.000000	-1.308045	2.958843	0.000000	5.436712	0.158283	0.578529	0.000000
-0.646375	1.091329	0.943213	-0.132326	-0.014222	-0.018614	0.990930	0.089023	-0.323000	-0.498023	0.783605	-0.281008	-0.028636	0.013722	-0.356190	-0.253753	0.636173	-0.360649	0.022402	0.218937	0.358227	-0.008757	-0.306058	-0.255905	-0.256578	-0.090989	0.000000	-1.422697	0.117191	1.570800	-1.575687	-0.031882	0.209020	0.000000	0.078334	-0.736768	-0.268271	-0.030909	0.229052	-0.079327	-0.001852	-0.728507	0.028787	-0.005692	-0.053763	-0.028305	-0.273216	0.202144	-0.972879	0.475365	0.246290	-0.047973	0.099618	0.000000	-1.115775	2.950234	0.000000	5.559561	0.393191	0.875990	0.000000
-0.646716	1.092434	0.943309	-0.139588	-0.014952	-0.017793	0.989937	0.090080	-0.337151	-0.503221	0.783173	-0.276410	-0.030129	0.013237	-0.370397	-0.253136	0.636099	-0.362033	0.021918	0.211869	0.362723	-0.027698	-0.296670	-0.252458	-0.255399	-0.090938	0.000000	-1.442859	0.171984	1.570800	-1.469530	-0.021525	0.227958	0.000000	0.084881	-0.643996	-0.251958	0.009106	0.189040	-0.028544	0.013573	-0.640225	0.040308	-0.012061	-0.043201	-0.000676	-0.187844	0.191923	-0.891412	0.418571	0.141000	0.110732	-0.019058	0.000000	-0.864953	2.540637	0.000000	5.401930	0.553689	0.952488	0.000000
